DeliveryID,OrderID,CustomerName,DeliveryDate,DriverID,RestaurantID,DeliveryStatus,PaymentMethod,DeliveryAddress,CustomerPhone
96,3227,Olivia Miller,2023-04-06,84,46,Pending,Online Payment,Address_648,9660012071
97,8245,Emma Brown,2023-04-07,45,15,Pending,Credit Card,Address_998,6294788802
98,1438,Jane Smith,2023-04-08,53,22,Cancelled,Cash,Address_669,1902917684
99,9243,Sarah Johnson,2023-04-09,41,46,Delivered,Cash,Address_642,3210460557
100,3538,Jane Doe,2023-04-10,30,35,Delivered,Cash,Address_282,9678817086
101,7647,Michael Miller,2023-04-11,20,28,Pending,Cash,Address_404,6530448265
102,1109,Daniel Smith,2023-04-12,3,3,Cancelled,Cash,Address_325,5971258016
103,3674,Jane Wilson,2023-04-13,22,40,Delivered,Online Payment,Address_933,2542721223
104,5370,Michael Doe,2023-04-14,11,35,Cancelled,Cash,Address_224,3532829349
105,6312,Sarah Davis,2023-04-15,55,5,Delivered,Cash,Address_212,6639489752
106,7412,John Taylor,2023-04-16,7,23,Cancelled,Online Payment,Address_718,5218372780
107,9824,Michael Brown,2023-04-17,68,7,Cancelled,Cash,Address_535,2763452544
108,4276,Olivia Davis,2023-04-18,97,13,Delivered,Online Payment,Address_158,4617396944
109,3936,Daniel Doe,2023-04-19,74,1,Pending,Credit Card,Address_234,8083028157
110,5852,William Davis,2023-04-20,2,15,Delivered,Cash,Address_966,4663819151
111,1120,Sarah Moore,2023-04-21,47,31,Delivered,Online Payment,Address_274,4841879053
112,6880,Olivia Wilson,2023-04-22,51,26,Cancelled,Online Payment,Address_196,5875004056
113,1555,Olivia Johnson,2023-04-23,79,50,Cancelled,Cash,Address_901,1320900150
114,3268,Olivia Davis,2023-04-24,82,21,Pending,Cash,Address_489,8053397250
115,9869,Olivia Doe,2023-04-25,91,35,Delivered,Credit Card,Address_637,6106244346
116,3084,William Jones,2023-04-26,66,6,Cancelled,Online Payment,Address_789,5968402574
117,4669,Olivia Jones,2023-04-27,20,47,Pending,Credit Card,Address_553,0998957665
118,4268,William Taylor,2023-04-28,51,26,Delivered,Online Payment,Address_601,0205741309
119,3456,Olivia Wilson,2023-04-29,73,50,Cancelled,Cash,Address_988,4729215501
120,2665,Emily Miller,2023-04-30,84,36,Cancelled,Credit Card,Address_676,9002973204
121,8036,Michael Moore,2023-05-01,42,3,Pending,Cash,Address_525,9607073312
122,7450,Emma Doe,2023-05-02,85,9,Delivered,Cash,Address_589,8090245037
123,6550,Emily Johnson,2023-05-03,50,33,Delivered,Credit Card,Address_237,5616449448
124,4674,David Doe,2023-05-04,1,12,Pending,Online Payment,Address_800,7815776127
125,3171,Jane Miller,2023-05-05,68,7,Delivered,Credit Card,Address_238,3803699714
126,3675,Olivia Moore,2023-05-06,91,20,Cancelled,Cash,Address_629,2230519932
127,4871,Jane Doe,2023-05-07,84,35,Pending,Online Payment,Address_936,9726894668
128,2062,William Johnson,2023-05-08,23,22,Cancelled,Online Payment,Address_595,2920790939
129,4665,Jane Smith,2023-05-09,14,21,Delivered,Online Payment,Address_720,7773131526
130,2280,Sarah Davis,2023-05-10,83,7,Pending,Online Payment,Address_223,0291927501
131,8728,Michael Doe,2023-05-11,66,49,Delivered,Cash,Address_264,1489655931
132,1113,William Smith,2023-05-12,56,41,Cancelled,Cash,Address_84,8282242874
133,5956,Sarah Miller,2023-05-13,92,23,Delivered,Credit Card,Address_311,2060742857
134,1886,David Jones,2023-05-14,34,12,Delivered,Online Payment,Address_31,8384171417
135,7165,Emily Doe,2023-05-15,99,14,Cancelled,Cash,Address_905,9805543356
136,6746,Sarah Johnson,2023-05-16,29,5,Delivered,Online Payment,Address_742,8294258818
137,6701,John Moore,2023-05-17,86,15,Delivered,Online Payment,Address_530,0009785452
138,7141,Sarah Wilson,2023-05-18,41,39,Delivered,Online Payment,Address_360,6654468026
139,3961,Emma Taylor,2023-05-19,50,50,Delivered,Online Payment,Address_373,1249961071
140,9441,Olivia Johnson,2023-05-20,37,43,Pending,Cash,Address_758,0415268601
141,7911,Michael Doe,2023-05-21,86,17,Cancelled,Credit Card,Address_979,2159596640
142,7856,William Miller,2023-05-22,21,4,Cancelled,Cash,Address_890,8984416409
143,1616,Olivia Brown,2023-05-23,82,25,Delivered,Credit Card,Address_381,3629293031
144,3963,Daniel Taylor,2023-05-24,95,47,Delivered,Credit Card,Address_113,2385627661
145,2843,Jane Smith,2023-05-25,43,12,Cancelled,Cash,Address_107,3003233802
146,2368,Emma Doe,2023-05-26,89,15,Delivered,Online Payment,Address_269,4653253314
147,9212,Jane Johnson,2023-05-27,71,40,Cancelled,Online Payment,Address_842,0506970343
148,3712,William Smith,2023-05-28,92,7,Delivered,Cash,Address_62,1996564511
149,6102,David Wilson,2023-05-29,95,29,Cancelled,Cash,Address_947,6908241884
150,2167,Olivia Smith,2023-05-30,67,20,Pending,Online Payment,Address_363,8618339842
151,9546,Olivia Moore,2023-05-31,42,11,Pending,Online Payment,Address_252,1175549861
152,4962,John Miller,2023-06-01,88,32,Cancelled,Cash,Address_207,8685247027
153,5876,William Moore,2023-06-02,16,10,Cancelled,Credit Card,Address_394,0544853536
154,5392,Olivia Wilson,2023-06-03,39,9,Pending,Credit Card,Address_213,6361498388
155,4110,Michael Smith,2023-06-04,69,48,Pending,Online Payment,Address_594,5192850699
156,1763,Emily Wilson,2023-06-05,93,34,Delivered,Credit Card,Address_231,3072499098
157,9412,William Taylor,2023-06-06,26,41,Pending,Credit Card,Address_961,8433985700
158,8697,Sarah Jones,2023-06-07,17,3,Pending,Cash,Address_776,1691781010
159,6676,Daniel Smith,2023-06-08,61,1,Delivered,Cash,Address_918,5019222732
160,8442,Michael Wilson,2023-06-09,48,36,Cancelled,Cash,Address_970,4574620167
161,8389,William Johnson,2023-06-10,86,50,Pending,Credit Card,Address_784,9376246645
162,7067,William Taylor,2023-06-11,1,50,Pending,Credit Card,Address_673,7504872929
163,4399,Emma Davis,2023-06-12,6,20,Pending,Credit Card,Address_563,4279916825
164,7549,John Jones,2023-06-13,93,23,Cancelled,Credit Card,Address_993,0664491749
165,5453,Michael Moore,2023-06-14,99,12,Pending,Online Payment,Address_798,8137937107
166,2345,Michael Johnson,2023-06-15,72,30,Cancelled,Online Payment,Address_225,5738591295
167,1580,William Jones,2023-06-16,30,14,Pending,Online Payment,Address_224,2355584327
168,5025,Emily Doe,2023-06-17,66,46,Cancelled,Cash,Address_470,0315095962
169,5149,John Smith,2023-06-18,27,6,Pending,Credit Card,Address_389,4116887193
170,6979,Michael Wilson,2023-06-19,58,35,Pending,Credit Card,Address_951,4333672660
171,4366,David Wilson,2023-06-20,84,12,Cancelled,Cash,Address_484,0672518373
172,8899,Sarah Doe,2023-06-21,73,2,Pending,Online Payment,Address_699,0470629155
173,6253,Emily Wilson,2023-06-22,97,24,Delivered,Online Payment,Address_411,8544271617
174,5253,Olivia Moore,2023-06-23,41,14,Cancelled,Online Payment,Address_290,4430129481
175,3968,John Doe,2023-06-24,94,1,Delivered,Credit Card,Address_901,0371447971
176,1065,David Johnson,2023-06-25,70,7,Cancelled,Cash,Address_751,2635222933
177,5049,Jane Miller,2023-06-26,82,39,Delivered,Credit Card,Address_995,1347205528
178,7333,Emily Davis,2023-06-27,93,14,Cancelled,Cash,Address_891,2721804431
179,7463,John Brown,2023-06-28,41,1,Cancelled,Cash,Address_447,0252349933
180,7500,Daniel Wilson,2023-06-29,53,19,Cancelled,Online Payment,Address_83,4180671075
181,7348,Daniel Brown,2023-06-30,19,2,Delivered,Online Payment,Address_385,5196878204
182,5989,Emily Johnson,2023-07-01,57,24,Delivered,Credit Card,Address_979,5721796338
183,7895,Michael Wilson,2023-07-02,1,43,Pending,Credit Card,Address_423,7462551363
184,7654,Emma Smith,2023-07-03,14,50,Delivered,Online Payment,Address_657,1593372230
185,8104,David Doe,2023-07-04,84,22,Delivered,Online Payment,Address_423,6625648215
186,3677,Sarah Moore,2023-07-05,70,34,Pending,Online Payment,Address_887,4228708669
187,9108,Emily Brown,2023-07-06,79,10,Cancelled,Online Payment,Address_764,8217778798
188,2621,Emma Wilson,2023-07-07,57,34,Cancelled,Online Payment,Address_380,2647417315
189,4884,William Doe,2023-07-08,5,47,Pending,Cash,Address_311,7250056461
190,4007,John Brown,2023-07-09,58,36,Cancelled,Cash,Address_351,3936955542
191,8868,Daniel Wilson,2023-07-10,37,20,Cancelled,Credit Card,Address_544,5192315670
192,3704,William Moore,2023-07-11,6,50,Pending,Online Payment,Address_236,4576911941
193,3987,Olivia Taylor,2023-07-12,35,49,Pending,Credit Card,Address_889,6575464547
194,5018,William Miller,2023-07-13,23,17,Pending,Online Payment,Address_734,6864306845
195,9754,Jane Brown,2023-07-14,81,10,Pending,Cash,Address_407,3061273406
196,4391,Michael Smith,2023-07-15,9,15,Delivered,Cash,Address_935,1554691469
197,8047,Emily Taylor,2023-07-16,30,32,Cancelled,Cash,Address_768,1627156919
198,4579,Olivia Smith,2023-07-17,35,32,Cancelled,Cash,Address_816,8734604297
199,2246,Olivia Miller,2023-07-18,92,21,Pending,Online Payment,Address_224,4133546708
200,2633,Michael Smith,2023-07-19,1,39,Cancelled,Credit Card,Address_31,2544616200
201,8791,Daniel Moore,2023-07-20,76,37,Cancelled,Online Payment,Address_685,4837142435
202,3121,Emma Wilson,2023-07-21,34,13,Cancelled,Online Payment,Address_163,4262090599
203,1231,David Moore,2023-07-22,6,31,Delivered,Credit Card,Address_988,2501154715
204,5739,David Miller,2023-07-23,84,42,Cancelled,Online Payment,Address_845,5954284487
205,2882,Emily Taylor,2023-07-24,45,4,Pending,Online Payment,Address_355,5561557836
206,1869,John Smith,2023-07-25,53,4,Delivered,Cash,Address_272,4139358348
207,2807,Jane Jones,2023-07-26,66,4,Cancelled,Cash,Address_455,1752300353
208,5346,Olivia Brown,2023-07-27,62,9,Cancelled,Cash,Address_35,1428216290
209,3529,Daniel Miller,2023-07-28,17,44,Cancelled,Cash,Address_708,3701496079
210,8287,Jane Doe,2023-07-29,100,47,Delivered,Credit Card,Address_918,8159444444
211,3342,Emily Wilson,2023-07-30,36,34,Pending,Online Payment,Address_823,2325907150
212,8786,Daniel Davis,2023-07-31,38,46,Pending,Credit Card,Address_819,7308375147
213,3387,David Smith,2023-08-01,28,29,Delivered,Credit Card,Address_819,4021265832
214,8519,John Moore,2023-08-02,59,17,Pending,Credit Card,Address_478,5155303981
215,2757,Michael Smith,2023-08-03,99,21,Delivered,Credit Card,Address_999,4824996954
216,2986,Daniel Wilson,2023-08-04,80,29,Cancelled,Online Payment,Address_852,5516604192
217,3030,Sarah Brown,2023-08-05,51,22,Delivered,Credit Card,Address_716,0707363135
218,3161,William Moore,2023-08-06,3,14,Cancelled,Online Payment,Address_806,6833433460
219,6288,Sarah Davis,2023-08-07,38,30,Pending,Cash,Address_335,0643450825
220,2796,Jane Wilson,2023-08-08,26,27,Delivered,Credit Card,Address_513,3789644300
221,3399,Sarah Jones,2023-08-09,6,23,Delivered,Credit Card,Address_846,5933629499
222,6203,John Doe,2023-08-10,43,18,Delivered,Online Payment,Address_201,4565986894
223,3634,Daniel Moore,2023-08-11,11,19,Delivered,Credit Card,Address_568,6851258028
224,2676,Olivia Brown,2023-08-12,87,2,Pending,Online Payment,Address_722,6910068994
225,7427,Emily Johnson,2023-08-13,40,22,Delivered,Credit Card,Address_358,3687504370
226,9789,William Wilson,2023-08-14,65,40,Pending,Cash,Address_309,3743076748
227,8616,William Jones,2023-08-15,77,26,Delivered,Online Payment,Address_460,1991856895
228,5955,Sarah Miller,2023-08-16,55,15,Delivered,Online Payment,Address_912,4159847714
229,3022,Michael Davis,2023-08-17,3,11,Delivered,Credit Card,Address_599,2693496578
230,9523,John Miller,2023-08-18,70,21,Pending,Credit Card,Address_135,5225652684
231,3313,Michael Jones,2023-08-19,71,45,Pending,Credit Card,Address_355,1072480854
232,3569,William Moore,2023-08-20,85,41,Pending,Credit Card,Address_744,9143737562
233,5231,Sarah Miller,2023-08-21,91,44,Delivered,Online Payment,Address_176,7841259733
234,5059,Daniel Jones,2023-08-22,32,31,Pending,Cash,Address_319,6455384490
235,3961,Michael Davis,2023-08-23,72,42,Cancelled,Online Payment,Address_264,7987809358
236,7387,Emma Brown,2023-08-24,83,10,Cancelled,Cash,Address_473,6825190101
237,8824,Jane Wilson,2023-08-25,60,12,Delivered,Cash,Address_975,2298298330
238,3157,Jane Moore,2023-08-26,41,35,Cancelled,Online Payment,Address_349,9913214506
239,9098,Sarah Smith,2023-08-27,61,21,Delivered,Credit Card,Address_88,0587438588
240,4746,Emily Brown,2023-08-28,45,48,Pending,Cash,Address_738,6476352727
241,1134,William Miller,2023-08-29,49,10,Delivered,Credit Card,Address_611,4403642884
242,4417,Jane Brown,2023-08-30,62,11,Pending,Credit Card,Address_222,4634609807
243,8389,Emily Smith,2023-08-31,22,2,Pending,Cash,Address_983,2339654247
244,9663,William Taylor,2023-09-01,46,42,Delivered,Cash,Address_946,2211221037
245,3917,John Jones,2023-09-02,65,40,Cancelled,Online Payment,Address_227,7068792976
246,5396,Sarah Moore,2023-09-03,74,34,Delivered,Online Payment,Address_251,7861350136
247,7996,David Smith,2023-09-04,86,42,Delivered,Cash,Address_369,1335756819
248,3465,David Taylor,2023-09-05,56,14,Delivered,Online Payment,Address_970,1904590413
249,8231,Sarah Doe,2023-09-06,55,44,Cancelled,Credit Card,Address_280,9735528428
250,7442,Sarah Brown,2023-09-07,40,50,Delivered,Cash,Address_45,5609285762
251,6085,Michael Smith,2023-09-08,61,16,Cancelled,Cash,Address_375,4905878874
252,1600,Daniel Smith,2023-09-09,80,40,Delivered,Cash,Address_645,5786970099
253,9510,Emma Brown,2023-09-10,18,5,Cancelled,Online Payment,Address_409,0676899072
254,2646,William Smith,2023-09-11,47,32,Delivered,Online Payment,Address_862,9056048037
255,3211,Emily Taylor,2023-09-12,77,42,Pending,Cash,Address_609,3935408569
256,2755,William Brown,2023-09-13,80,34,Cancelled,Credit Card,Address_184,8950645903
257,1200,Michael Miller,2023-09-14,38,1,Delivered,Credit Card,Address_365,8691176459
258,6251,David Jones,2023-09-15,5,4,Cancelled,Cash,Address_175,4786429515
259,3885,Jane Doe,2023-09-16,50,12,Delivered,Cash,Address_626,6385449240
260,1958,Daniel Moore,2023-09-17,68,21,Cancelled,Online Payment,Address_181,2857826741
261,6974,Emma Taylor,2023-09-18,9,49,Delivered,Online Payment,Address_257,4050226983
262,7748,Emily Taylor,2023-09-19,70,48,Cancelled,Cash,Address_855,4140641715
263,8810,John Jones,2023-09-20,29,2,Cancelled,Cash,Address_692,4071293634
264,2858,Sarah Brown,2023-09-21,33,27,Delivered,Cash,Address_162,3272118509
265,8295,Daniel Jones,2023-09-22,92,34,Delivered,Online Payment,Address_759,8759882897
266,6762,Daniel Moore,2023-09-23,25,8,Delivered,Online Payment,Address_808,9298798126
267,4239,Jane Brown,2023-09-24,29,7,Pending,Credit Card,Address_422,5415477536
268,2791,William Johnson,2023-09-25,53,11,Delivered,Cash,Address_276,0669183877
269,8931,Emma Moore,2023-09-26,63,35,Delivered,Credit Card,Address_208,9777101516
270,2018,Jane Miller,2023-09-27,52,7,Pending,Credit Card,Address_308,5263016891
271,4370,Emma Davis,2023-09-28,53,22,Pending,Online Payment,Address_513,1450538911
272,8184,Michael Doe,2023-09-29,29,47,Cancelled,Credit Card,Address_419,6820132575
273,1028,John Doe,2023-09-30,27,15,Cancelled,Cash,Address_332,6605323995
274,5158,Emily Jones,2023-10-01,32,40,Pending,Credit Card,Address_833,4908098898
275,1172,Michael Brown,2023-10-02,16,25,Cancelled,Online Payment,Address_728,3247763624
276,1542,Emily Davis,2023-10-03,28,36,Cancelled,Cash,Address_784,6784057322
277,2821,Emily Brown,2023-10-04,30,23,Delivered,Credit Card,Address_564,0994325577
278,8021,Daniel Taylor,2023-10-05,68,12,Cancelled,Online Payment,Address_220,6840833443
279,1875,Daniel Doe,2023-10-06,44,35,Pending,Cash,Address_325,5885522356
280,7547,Daniel Taylor,2023-10-07,98,43,Cancelled,Online Payment,Address_332,7641491319
281,1131,Daniel Taylor,2023-10-08,16,4,Cancelled,Cash,Address_817,4888008446
282,5473,Daniel Johnson,2023-10-09,79,32,Delivered,Credit Card,Address_555,8510421366
283,1282,Daniel Johnson,2023-10-10,79,11,Pending,Credit Card,Address_415,7205221673
284,6510,Michael Smith,2023-10-11,57,3,Delivered,Credit Card,Address_404,4894562149
285,3027,David Brown,2023-10-12,64,34,Cancelled,Credit Card,Address_529,9094258582
286,4237,Emily Doe,2023-10-13,46,50,Cancelled,Cash,Address_870,7110743539
287,7858,Sarah Wilson,2023-10-14,8,24,Cancelled,Credit Card,Address_663,9360734485
288,1538,Michael Moore,2023-10-15,5,44,Delivered,Online Payment,Address_956,4790285081
289,1091,Emma Johnson,2023-10-16,63,44,Delivered,Cash,Address_409,4247465706
290,8871,David Taylor,2023-10-17,72,22,Cancelled,Credit Card,Address_9,4396723957
291,9353,Jane Brown,2023-10-18,76,12,Delivered,Online Payment,Address_137,5132836095
292,1563,Emma Jones,2023-10-19,50,16,Pending,Cash,Address_505,0607176465
293,4730,Olivia Smith,2023-10-20,57,6,Delivered,Cash,Address_690,8127697711
294,3290,Jane Miller,2023-10-21,97,41,Delivered,Credit Card,Address_515,7489411418
295,4499,Sarah Johnson,2023-10-22,40,3,Pending,Credit Card,Address_663,6884904412
296,6757,Emily Johnson,2023-10-23,34,24,Delivered,Cash,Address_374,8031923686
297,8489,David Johnson,2023-10-24,86,13,Delivered,Credit Card,Address_333,0905354719
298,5208,Emma Taylor,2023-10-25,25,33,Delivered,Cash,Address_775,9226620479
299,4823,Michael Smith,2023-10-26,87,9,Delivered,Credit Card,Address_201,6366996232
300,7132,Daniel Doe,2023-10-27,53,4,Pending,Online Payment,Address_167,0104443030
301,5665,Daniel Doe,2023-10-28,64,30,Delivered,Online Payment,Address_298,5925792539
302,8191,Michael Miller,2023-10-29,30,36,Delivered,Credit Card,Address_75,9228200230
303,5881,William Smith,2023-10-30,20,47,Delivered,Online Payment,Address_107,4073892746
304,2601,Jane Moore,2023-10-31,83,38,Delivered,Credit Card,Address_330,8972366867
305,6075,Sarah Johnson,2023-11-01,6,28,Pending,Online Payment,Address_973,2801880431
306,3536,William Smith,2023-11-02,4,4,Pending,Cash,Address_43,2209770477
307,9234,Emily Smith,2023-11-03,96,49,Cancelled,Credit Card,Address_629,1545803554
308,2514,Jane Brown,2023-11-04,73,37,Delivered,Credit Card,Address_847,1902511388
309,8692,Emma Miller,2023-11-05,63,8,Pending,Online Payment,Address_478,9938194126
310,6970,Emily Moore,2023-11-06,55,32,Pending,Online Payment,Address_735,8469495996
311,4136,Sarah Miller,2023-11-07,42,24,Pending,Online Payment,Address_725,0894375558
312,7192,Emma Moore,2023-11-08,57,1,Cancelled,Cash,Address_509,9551344733
313,9574,Daniel Miller,2023-11-09,52,9,Delivered,Cash,Address_923,4568768059
314,7823,Sarah Moore,2023-11-10,6,25,Delivered,Credit Card,Address_361,1904642089
315,9614,David Jones,2023-11-11,50,13,Delivered,Cash,Address_204,5905626356
316,1672,Emily Moore,2023-11-12,2,9,Cancelled,Online Payment,Address_976,5041219170
317,9570,Emily Johnson,2023-11-13,16,6,Pending,Cash,Address_448,6893714443
318,4453,Jane Miller,2023-11-14,48,17,Pending,Credit Card,Address_876,6770357890
319,2766,William Brown,2023-11-15,73,3,Delivered,Cash,Address_189,2994641967
320,4928,Jane Brown,2023-11-16,32,42,Delivered,Credit Card,Address_297,5104117713
